,dataset,factors,n_cluster,linkage,silhouette_score,n_elements,eveness
112,df_datos_std_clus,"['F1', 'F5']",6,ward,0.35088641171510104,"{1: 25, 2: 15, 5: 12, 4: 10, 3: 6, 0: 3}",0.9013604389807715
113,df_datos_std_clus,"['F1', 'F5']",6,complete,0.38385013920289934,"{1: 23, 3: 17, 4: 15, 0: 13, 2: 2, 5: 1}",0.8412369121666654
114,df_datos_std_clus,"['F1', 'F5']",6,average,0.3887525687056837,"{3: 33, 1: 19, 2: 15, 0: 2, 5: 1, 4: 1}",0.702072776796078
115,df_datos_std_clus,"['F1', 'F5']",6,single,0.13513471863629856,"{0: 63, 2: 4, 3: 1, 4: 1, 5: 1, 1: 1}",0.28367431592164505
116,df_datos_std_clus,"['F1', 'F5']",7,ward,0.35702431457766215,"{0: 25, 2: 15, 5: 12, 4: 10, 1: 6, 3: 2, 6: 1}",0.843777944930287
117,df_datos_std_clus,"['F1', 'F5']",7,complete,0.358144033059583,"{0: 23, 3: 17, 1: 15, 6: 10, 4: 3, 2: 2, 5: 1}",0.8254259949458905
118,df_datos_std_clus,"['F1', 'F5']",7,average,0.3628299602779363,"{1: 33, 0: 19, 2: 15, 6: 1, 5: 1, 3: 1, 4: 1}",0.6564901361060348
119,df_datos_std_clus,"['F1', 'F5']",7,single,-0.015193876034170734,"{2: 62, 0: 4, 3: 1, 4: 1, 6: 1, 5: 1, 1: 1}",0.298370549793998
120,df_datos_std_clus,"['F1', 'F5']",8,ward,0.3292153329246863,"{0: 15, 3: 13, 2: 12, 5: 12, 4: 10, 1: 6, 7: 2, 6: 1}",0.9068301138232965
121,df_datos_std_clus,"['F1', 'F5']",8,complete,0.3360604121550072,"{4: 20, 3: 17, 0: 15, 6: 10, 7: 3, 1: 3, 2: 2, 5: 1}",0.8327427248755921
122,df_datos_std_clus,"['F1', 'F5']",8,average,0.3422711423792411,"{0: 33, 2: 15, 1: 14, 3: 5, 6: 1, 5: 1, 7: 1, 4: 1}",0.6885026818245654
123,df_datos_std_clus,"['F1', 'F5']",8,single,-0.053315410842243845,"{0: 62, 1: 3, 7: 1, 4: 1, 6: 1, 5: 1, 2: 1, 3: 1}",0.29444594712996575
124,df_datos_std_clus,"['F1', 'F5']",9,ward,0.3203303537203898,"{3: 13, 2: 12, 5: 12, 4: 10, 0: 10, 1: 6, 8: 5, 7: 2, 6: 1}",0.9194212803987425
125,df_datos_std_clus,"['F1', 'F5']",9,complete,0.31765919964128153,"{4: 20, 1: 17, 3: 10, 6: 10, 8: 5, 7: 3, 0: 3, 2: 2, 5: 1}",0.8493053733214508
126,df_datos_std_clus,"['F1', 'F5']",9,average,0.35336220931687934,"{3: 23, 2: 15, 0: 14, 1: 10, 8: 5, 6: 1, 5: 1, 7: 1, 4: 1}",0.7813526096410407
127,df_datos_std_clus,"['F1', 'F5']",9,single,-0.042468505837583465,"{0: 58, 3: 4, 1: 3, 7: 1, 4: 1, 6: 1, 5: 1, 2: 1, 8: 1}",0.3737337288803668
128,df_datos_std_clus,"['F2', 'F3']",2,ward,0.7927675533747749,"{0: 69, 1: 2}",0.1851247601005459
129,df_datos_std_clus,"['F2', 'F3']",2,complete,0.7927675533747749,"{1: 69, 0: 2}",0.1851247601005459
130,df_datos_std_clus,"['F2', 'F3']",2,average,0.7927675533747749,"{1: 69, 0: 2}",0.1851247601005459
131,df_datos_std_clus,"['F2', 'F3']",2,single,0.8166752550436972,"{0: 70, 1: 1}",0.10679203237584188
132,df_datos_std_clus,"['F2', 'F3']",3,ward,0.5081991995878146,"{0: 59, 2: 10, 1: 2}",0.48285520238915297
133,df_datos_std_clus,"['F2', 'F3']",3,complete,0.6996980951919428,"{0: 69, 2: 1, 1: 1}",0.13457338838490152
134,df_datos_std_clus,"['F2', 'F3']",3,average,0.6996980951919428,"{0: 69, 2: 1, 1: 1}",0.13457338838490152
135,df_datos_std_clus,"['F2', 'F3']",3,single,0.6996980951919428,"{0: 69, 2: 1, 1: 1}",0.13457338838490152
136,df_datos_std_clus,"['F2', 'F3']",4,ward,0.5283232858770635,"{0: 55, 2: 10, 3: 4, 1: 2}",0.5312533823387503
137,df_datos_std_clus,"['F2', 'F3']",4,complete,0.4851476184059426,"{0: 56, 1: 13, 2: 1, 3: 1}",0.44587643319558035
138,df_datos_std_clus,"['F2', 'F3']",4,average,0.5059700582213286,"{0: 65, 1: 4, 2: 1, 3: 1}",0.2618178706900203
139,df_datos_std_clus,"['F2', 'F3']",4,single,0.5059700582213286,"{0: 65, 1: 4, 2: 1, 3: 1}",0.2618178706900203
140,df_datos_std_clus,"['F2', 'F3']",5,ward,0.38465685574014596,"{1: 35, 4: 20, 2: 10, 3: 4, 0: 2}",0.7730904870461041
141,df_datos_std_clus,"['F2', 'F3']",5,complete,0.4401444601840104,"{4: 45, 1: 13, 0: 11, 2: 1, 3: 1}",0.6268417961772863
142,df_datos_std_clus,"['F2', 'F3']",5,average,0.5244779982542201,"{0: 55, 1: 10, 4: 4, 2: 1, 3: 1}",0.469728490371239
143,df_datos_std_clus,"['F2', 'F3']",5,single,0.3974906264964242,"{0: 64, 1: 4, 2: 1, 3: 1, 4: 1}",0.2707320525237008
144,df_datos_std_clus,"['F2', 'F3']",6,ward,0.38103737098085316,"{0: 35, 1: 20, 2: 10, 3: 4, 5: 1, 4: 1}",0.7053214641753464
145,df_datos_std_clus,"['F2', 'F3']",6,complete,0.3732470551065285,"{1: 45, 0: 13, 4: 7, 2: 4, 5: 1, 3: 1}",0.6197352296459904
146,df_datos_std_clus,"['F2', 'F3']",6,average,0.348818953272484,"{0: 54, 1: 10, 4: 4, 5: 1, 2: 1, 3: 1}",0.4612202980061542
147,df_datos_std_clus,"['F2', 'F3']",6,single,0.13405166364884757,"{0: 63, 1: 4, 5: 1, 2: 1, 3: 1, 4: 1}",0.28367431592164505
148,df_datos_std_clus,"['F2', 'F3']",7,ward,0.3574343622356316,"{1: 25, 0: 20, 6: 10, 2: 10, 3: 4, 5: 1, 4: 1}",0.801007200264876
149,df_datos_std_clus,"['F2', 'F3']",7,complete,0.32018777306336377,"{0: 45, 2: 8, 1: 7, 4: 5, 6: 4, 5: 1, 3: 1}",0.6333340268133728
150,df_datos_std_clus,"['F2', 'F3']",7,average,0.42535568930763207,"{1: 33, 2: 21, 0: 10, 4: 4, 5: 1, 6: 1, 3: 1}",0.6858698784428867
151,df_datos_std_clus,"['F2', 'F3']",7,single,0.14892523899392432,"{0: 62, 1: 4, 5: 1, 6: 1, 3: 1, 2: 1, 4: 1}",0.298370549793998
152,df_datos_std_clus,"['F2', 'F3']",8,ward,0.3759724404179582,"{1: 25, 2: 14, 6: 10, 0: 10, 3: 6, 7: 4, 5: 1, 4: 1}",0.8323208212656511
153,df_datos_std_clus,"['F2', 'F3']",8,complete,0.3925597022189646,"{3: 27, 4: 18, 2: 8, 0: 7, 1: 5, 6: 4, 5: 1, 7: 1}",0.7977948731061837
154,df_datos_std_clus,"['F2', 'F3']",8,average,0.40739625870395046,"{1: 33, 2: 21, 3: 6, 4: 4, 0: 4, 5: 1, 6: 1, 7: 1}",0.6874112613301528
155,df_datos_std_clus,"['F2', 'F3']",8,single,0.2840433828620633,"{1: 55, 3: 7, 0: 4, 5: 1, 6: 1, 7: 1, 2: 1, 4: 1}",0.42725716801207947
156,df_datos_std_clus,"['F2', 'F3']",9,ward,0.3754870274309373,"{0: 25, 2: 14, 6: 10, 3: 6, 8: 6, 7: 4, 1: 4, 5: 1, 4: 1}",0.8308449150851787
157,df_datos_std_clus,"['F2', 'F3']",9,complete,0.373741985727841,"{3: 27, 1: 18, 2: 8, 4: 6, 0: 5, 6: 4, 5: 1, 8: 1, 7: 1}",0.7734310919405314
158,df_datos_std_clus,"['F2', 'F3']",9,average,0.4012894307504212,"{0: 33, 2: 21, 3: 6, 1: 4, 4: 3, 5: 1, 6: 1, 7: 1, 8: 1}",0.6649809042359147
159,df_datos_std_clus,"['F2', 'F3']",9,single,0.25864848075398106,"{0: 55, 1: 7, 3: 3, 5: 1, 6: 1, 8: 1, 7: 1, 2: 1, 4: 1}",0.4187724672542477
160,df_datos_std_clus,"['F2', 'F4']",2,ward,0.39348592499245066,"{0: 48, 1: 23}",0.9086185980409245
161,df_datos_std_clus,"['F2', 'F4']",2,complete,0.5629690747538093,"{0: 67, 1: 4}",0.31273337639664334
162,df_datos_std_clus,"['F2', 'F4']",2,average,0.5629690747538093,"{0: 67, 1: 4}",0.31273337639664334
163,df_datos_std_clus,"['F2', 'F4']",2,single,0.5629690747538093,"{1: 67, 0: 4}",0.31273337639664334
164,df_datos_std_clus,"['F2', 'F4']",3,ward,0.4464212794005188,"{0: 44, 1: 23, 2: 4}",0.7497856270611055
165,df_datos_std_clus,"['F2', 'F4']",3,complete,0.4762180999735483,"{0: 59, 2: 8, 1: 4}",0.5114628099349293
166,df_datos_std_clus,"['F2', 'F4']",3,average,0.4762180999735483,"{1: 59, 2: 8, 0: 4}",0.5114628099349293
167,df_datos_std_clus,"['F2', 'F4']",3,single,0.5199181290820565,"{1: 67, 0: 3, 2: 1}",0.2261499474354992
168,df_datos_std_clus,"['F2', 'F4']",4,ward,0.3989515304409871,"{1: 34, 0: 23, 3: 10, 2: 4}",0.8337824150995492
169,df_datos_std_clus,"['F2', 'F4']",4,complete,0.3306834045369494,"{3: 34, 0: 25, 2: 8, 1: 4}",0.8138162263236111
170,df_datos_std_clus,"['F2', 'F4']",4,average,0.45325884955385926,"{0: 59, 2: 8, 1: 3, 3: 1}",0.42817759204450934
171,df_datos_std_clus,"['F2', 'F4']",4,single,0.4841397479553549,"{1: 67, 0: 2, 3: 1, 2: 1}",0.19862020932508226
172,df_datos_std_clus,"['F2', 'F4']",5,ward,0.39118291802249694,"{0: 34, 3: 15, 1: 10, 4: 8, 2: 4}",0.8482245721199604
173,df_datos_std_clus,"['F2', 'F4']",5,complete,0.39118291802249694,"{1: 34, 4: 15, 3: 10, 2: 8, 0: 4}",0.8482245721199604
